symbol,date,proba,close
sz300829,2026-09-24,0.23767820626306982,27.56
sh603955,2026-09-24,0.23697968425069338,25.74
sh600657,2026-09-24,0.23680659753359448,3.06
sh600180,2026-09-24,0.23623801226721072,1.55
sz000069,2026-09-24,0.23477041176632463,1.84
sz002465,2026-09-24,0.23433804794782162,10.31
sh603272,2026-09-24,0.23432320485808358,16.81
sz002708,2026-09-24,0.23422643567454426,16.45
sh601949,2026-09-24,0.23422021002582785,5.71
sz002446,2026-09-24,0.23421294780831817,8.15
sz000718,2026-09-24,0.23379766314753447,2.04
sh601598,2026-09-24,0.2336475682318113,6.68
sh600880,2026-09-24,0.2335208085999179,4.26
sh601918,2026-09-24,0.23327058850725008,11.15
sh600725,2026-09-24,0.23196240310727712,3.25
sz002790,2026-09-24,0.2317703322870111,6.49
sh688432,2026-09-24,0.23176977458300305,55.13
bj920873,2026-09-24,0.23113383872864443,7.47
sh603819,2026-09-24,0.23043137099225697,16.76
sz300897,2026-09-24,0.2303480427257689,17.51
sh688306,2026-09-24,0.23014141533817786,10.15
sh688179,2026-09-24,0.2295813594409436,24.84
sz002724,2026-09-24,0.22934100689922954,7.22
sz002494,2026-09-24,0.22920888403831396,5.0
sh603978,2026-09-24,0.2287519134216181,26.01
sz300062,2026-09-24,0.22870268833786847,6.24
sz002124,2026-09-24,0.22846583218203517,2.07
sh600609,2026-09-24,0.227350114469505,3.54
sz300369,2026-09-24,0.2268163914344494,8.85
sh600693,2026-09-24,0.22669762539219726,9.76
sz002086,2026-09-24,0.22656273067327506,2.04
sz000031,2026-09-24,0.2263368761582922,2.28
sz002314,2026-09-24,0.2260659257107216,2.27
sz301583,2026-09-24,0.22532336206852532,141.89
sh603980,2026-09-24,0.22430676868761032,8.09
sh688512,2026-09-24,0.22421780447495043,17.58
sz300207,2026-09-24,0.22413783864451778,20.09
